MethodKey,Method,ProtocolKey,Protocol,Split,Seed,Scope,Class,Precision,Recall,F1,Support,Predicted_Support
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,515,0.8695652173913043,0.7821229050279329,0.8235294117647058,179,161
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,516,0.5,0.2222222222222222,0.3076923076923077,9,4
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,517,0.8846153846153846,0.6052631578947368,0.71875,38,26
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,518,0.6666666666666666,0.8,0.7272727272727273,40,48
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,520,0.925,0.7595307917888563,0.8341384863123994,341,280
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,521,0.0,0.0,0.0,1,0
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,522,0.9463414634146341,0.7791164658634538,0.8546255506607929,249,205
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,523,0.6680131279979803,0.9932432432432432,0.7987924528301886,2664,3961
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cafeteria,0.9120135363790186,0.8404365904365905,0.8747633216121179,1924,1773
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,cleaning,0.7984886649874056,0.7304147465437788,0.762936221419976,434,397
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,hallway,0.8878787878787879,0.7181372549019608,0.7940379403794038,408,330
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,kitchen,0.92078025477707,0.7674187126741872,0.8371335504885994,3014,2512
xgb_full60_kl,XGBoost (60 s full-statistics + KL-partial relabeling),row_random,Naive stratified row-random 70/30,seed42,42.0,split,nurse station,0.955187969924812,0.9131684876365728,0.9337057180655594,3478,3325
